division,year,month,mean_t2m_C,total_precip_mm
Mymensingh,2024,5,28.832346754807702,190.06919860839844
Rajshahi,2024,5,29.74310257523149,215.057373046875
Rangpur,2024,5,29.209558105468773,193.36700439453125
Sylhet,2024,5,28.229150390625023,354.6791076660156
Barisal,2024,6,30.359207589285745,79.37240600585938
Chittagong,2024,6,28.93338512073865,406.39686584472656
Dhaka,2024,6,30.264298221982756,218.25790405273438
Khulna,2024,6,31.184577287946468,131.12449645996094
Mymensingh,2024,6,28.883128004807702,216.4020538330078
Rajshahi,2024,6,30.569147858796327,252.49481201171875
Rangpur,2024,6,28.71826578776046,444.9615478515625
Sylhet,2024,6,28.548730468750023,441.55311584472656
Barisal,2024,7,29.226395089285745,159.5306396484375
Chittagong,2024,7,28.505051491477275,701.4541625976562
Dhaka,2024,7,29.923814655172464,214.15138244628906
Khulna,2024,7,29.782756696428578,243.94798278808594
Mymensingh,2024,7,29.94900841346157,156.3587188720703
Rajshahi,2024,7,30.366420717592632,219.24781799316406
Rangpur,2024,7,30.183984375000023,299.3755340576172
Sylhet,2024,7,29.707313368055566,279.54864501953125
Barisal,2024,8,28.326283482142856,288.116455078125
Chittagong,2024,8,27.367134232954584,1002.1572113037109
Dhaka,2024,8,28.741971982758628,466.3867950439453
Khulna,2024,8,28.759842354910745,461.40480041503906
Mymensingh,2024,8,28.75735802283657,191.14303588867188
Rajshahi,2024,8,29.3342303240741,326.91192626953125
Rangpur,2024,8,29.424422200520837,326.7841339111328
Sylhet,2024,8,28.45796440972225,468.8720703125
Barisal,2024,9,29.364090401785745,207.4565887451172
Chittagong,2024,9,28.603906250000023,570.1789855957031
Dhaka,2024,9,29.75459994612072,338.44757080078125
Khulna,2024,9,29.564215959821468,321.9776153564453
Mymensingh,2024,9,29.66419020432693,172.2545623779297
Rajshahi,2024,9,29.811660879629642,337.2936248779297
Rangpur,2024,9,29.791731770833337,241.21856689453125
Sylhet,2024,9,29.833832465277794,183.7482452392578
Barisal,2024,10,28.595221819196468,67.20352172851562
Chittagong,2024,10,27.78816583806821,253.61061096191406
Dhaka,2024,10,28.059186422413802,202.12364196777344
Khulna,2024,10,28.39324776785719,156.42166137695312
Mymensingh,2024,10,27.306655649038476,127.44140625
Rajshahi,2024,10,27.815151186342632,129.55093383789062
Rangpur,2024,10,27.16846110026046,112.22648620605469
Sylhet,2024,10,27.46710611979171,132.16400146484375
Barisal,2024,11,24.896316964285745,4.154205322265625
Chittagong,2024,11,24.919602272727275,16.368865966796875
Dhaka,2024,11,24.33161368534485,5.3730010986328125
Khulna,2024,11,24.5507533482143,7.256507873535156
Mymensingh,2024,11,23.756437800480796,2.1648406982421875
Rajshahi,2024,11,23.949139178240785,2.5129318237304688
Rangpur,2024,11,23.699609375000023,3.7441253662109375
Sylhet,2024,11,24.245399305555566,6.8531036376953125
Barisal,2024,12,20.690471540178578,1.224517822265625
Chittagong,2024,12,20.795889559659088,2.0904541015625
Dhaka,2024,12,19.401993534482756,0.8525848388671875
Khulna,2024,12,19.921707589285745,2.6702880859375
Mymensingh,2024,12,18.87242337740389,0.0858306884765625
Rajshahi,2024,12,18.652065248842632,1.1119842529296875
Rangpur,2024,12,18.643701171875023,0.5893707275390625
Sylhet,2024,12,19.535384114583337,0.2841949462890625
Barisal,2025,1,19.5639369419643,0.5588531494140625
Chittagong,2025,1,19.692440518465958,1.621246337890625
Dhaka,2025,1,18.620743534482756,2.712249755859375
Khulna,2025,1,18.806839425223245,1.3141632080078125
Mymensingh,2025,1,18.344628906250023,1.026153564453125
Rajshahi,2025,1,17.737297453703718,0.5168914794921875
Rangpur,2025,1,17.756087239583337,0.5702972412109375
Sylhet,2025,1,18.892317708333337,5.889892578125
Barisal,2025,2,23.5863978794643,3.0517578125
Chittagong,2025,2,22.71594460227277,5.367279052734375
Dhaka,2025,2,22.172939116379325,6.671905517578125
Khulna,2025,2,22.931263950892856,12.716293334960938
Mymensingh,2025,2,20.94175931490389,2.8667449951171875
Rajshahi,2025,2,21.027463107638937,6.9732666015625
Rangpur,2025,2,20.429345703125023,3.3054351806640625
Sylhet,2025,2,21.097884114583337,9.723663330078125
Barisal,2025,3,27.286418805803578,3.2672882080078125
Chittagong,2025,3,26.67288707386365,7.823944091796875
Dhaka,2025,3,26.608351293103453,10.349273681640625
Khulna,2025,3,27.124797712053578,7.2612762451171875
Mymensingh,2025,3,25.34106069711538,4.4078826904296875
Rajshahi,2025,3,25.472757523148175,7.892608642578125
Rangpur,2025,3,24.95917154947921,11.8865966796875
Sylhet,2025,3,25.174652777777794,31.602859497070312
Barisal,2025,4,28.832526506696468,41.095733642578125
Chittagong,2025,4,28.227885298295462,130.51986694335938
Dhaka,2025,4,28.56794181034485,156.84127807617188
Khulna,2025,4,29.07195870535719,107.99598693847656
Mymensingh,2025,4,27.428049879807702,83.20426940917969
Rajshahi,2025,4,28.192104311342632,135.82611083984375
Rangpur,2025,4,27.097578938802087,119.48776245117188
Sylhet,2025,4,27.195296223958337,142.11463928222656
Barisal,2025,5,29.441238839285745,130.72967529296875
Chittagong,2025,5,28.629696377840958,449.4590759277344
Dhaka,2025,5,28.97563981681037,279.50286865234375
Khulna,2025,5,29.6952845982143,172.78480529785156
Mymensingh,2025,5,28.060862379807702,164.43634033203125
Rajshahi,2025,5,28.881647858796327,269.58465576171875
Rangpur,2025,5,27.682519531250023,409.90638732910156
Sylhet,2025,5,27.77003038194448,280.2886962890625
Barisal,2025,6,29.134912109375023,178.88450622558594
Chittagong,2025,6,28.031906960227275,725.7499694824219
Dhaka,2025,6,29.366635237068976,298.7480163574219
Khulna,2025,6,29.660407366071468,315.22369384765625
Mymensingh,2025,6,29.197731370192344,148.03504943847656
Rajshahi,2025,6,29.84962022569448,225.52871704101562
Rangpur,2025,6,29.730432128906273,211.2579345703125
Sylhet,2025,6,28.965858289930566,265.72418212890625
Barisal,2025,7,28.546289062500023,289.3524169921875
Chittagong,2025,7,27.709153053977275,743.6618804931641
Dhaka,2025,7,28.927687230603453,408.1001281738281
Khulna,2025,7,28.86883370535719,465.6963348388672
Mymensingh,2025,7,28.99670973557693,187.49618530273438
Rajshahi,2025,7,29.305692997685185,287.3077392578125
Rangpur,2025,7,29.754378255208337,239.16244506835938
Sylhet,2025,7,29.074500868055566,347.2900390625
Barisal,2025,8,28.6974818638393,145.34378051757812
Chittagong,2025,8,27.835884232954584,429.4166564941406
Dhaka,2025,8,28.96540274784485,271.1334228515625
Khulna,2025,8,28.918498883928578,294.88182067871094
Mymensingh,2025,8,28.73701923076925,156.71539306640625
Rajshahi,2025,8,29.188957609953718,231.6570281982422
Rangpur,2025,8,29.12353922526046,269.6533203125
Sylhet,2025,8,28.57832573784725,263.9789581298828
